Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8
manage,financial,financial,financial,customer,financial,financial,financial
business,customer,manage,customer,manage,manage,manage,customer
experience,manage,risk,manage,technology,risk,investment,manage
ai,risk,technology,bank,bank,technology,bank,risk
,market,bank,business,data,bank,business,technology
,bank,data,service,capital,data,service,investment
,business,regulatory,information,business,business,product,market
,service,business,product,service,service,solution,bank
,information,service,solution,information,system,development,asset
,product,credit,process,product,product,process,business
,solution,security,experience,process,model,experience,service
,process,process,ai,experience,solution,ai,lending
,experience,firm,sales,api,development,,product
,operation,experience,,ai,analytic,,solution
,share,operation,,,process,,development
,order,project,,,firm,,loan
,account,audit,,,experience,,process
,ai,ai,,,operation,,experience
,sales,,,,project,,operation
,,,,,ai,,project
,,,,,,,ai
,,,,,,,sales
